instant,valeur,rupture_simulee
0,10.045707561963164,0
1,10.197423620407733,0
2,10.796459716805538,0
3,11.111109313442519,0
4,10.900794653092163,0
5,11.144741291011607,0
6,11.42018443405762,0
7,11.325794803365259,0
8,11.257214921058488,0
9,10.941393851188542,0
10,10.948046105975983,0
11,10.635090358675516,0
12,10.207458100281205,0
13,10.045528873721153,0
14,9.648126401337807,0
15,9.194680145631136,0
16,9.186807615918054,0
17,8.871992109929263,0
18,9.117163465939583,0
19,9.035722503687523,0
20,9.158506715656808,0
21,9.303464465271515,0
22,9.870601949533036,0
23,9.989544508314582,0
24,10.296483419662746,0
25,10.65548383796671,0
26,11.1123418875594,0
27,11.366745104888437,0
28,11.590153078172943,0
29,11.731972882028815,0
30,12.04163468729154,0
31,11.623366224066086,0
32,11.485346115016723,0
33,11.240726238428676,0
34,11.19262603570078,0
35,10.962180933057038,0
36,10.444879046224498,0
37,10.00453835911566,0
38,9.697860148136368,0
39,9.653834986588492,0
40,9.464536619633218,0
41,9.30748984798535,0
42,9.084173543906696,0
43,9.264840906199579,0
44,9.378551365323808,0
45,9.601049357924136,0
46,9.968246647182278,0
47,10.18410116297624,0
48,10.587808199333514,0
49,10.830971949572238,0
50,11.175597032117954,0
51,11.493485381541637,0
52,11.383609151399103,0
53,11.680377794070182,0
54,11.69783164901705,0
55,11.62351805434113,0
56,11.542971848749545,0
57,11.596169691918988,0
58,10.966620842372413,0
59,10.921545623728669,0
60,10.180302127244843,0
61,10.038491176127039,0
62,9.791633708497685,0
63,9.577537246635998,0
64,9.380920057157526,0
65,9.254213475615451,0
66,9.029087159906227,0
67,9.046471731153925,0
68,9.364191380494253,0
69,9.402878366331379,0
70,9.498647051499312,0
71,9.822449610575427,0
72,10.17963565274678,0
73,10.716995679969235,0
74,10.965500270157142,0
75,11.304923243434743,0
76,11.33164719773365,0
77,11.537012145878304,0
78,11.638846932677628,0
79,11.441666236082918,0
80,11.413966217023852,0
81,11.026735714823841,0
82,10.789433960449813,0
83,10.460160552244057,0
84,9.988624053161645,0
85,9.89162463577403,0
86,9.421697611535023,0
87,9.211849511825323,0
88,9.062662067445647,0
89,8.914911459363537,0
90,8.890799392763391,0
91,8.807995985106789,0
92,8.876770158509242,0
93,9.12269182803946,0
94,9.138763425159738,0
95,9.476511560775366,0
96,9.820041562499814,0
97,10.193970283183827,0
98,10.705966134008515,0
99,10.768604126632368,0
100,11.043780618588412,0
101,11.415059744614297,0
102,11.201164483597294,0
103,11.311415944934604,0
104,10.92172127780992,0
105,10.815580469387747,0
106,10.42627594303148,0
107,10.196421107990014,0
108,10.0293136276314,0
109,9.300598065981207,0
110,9.304668036805479,0
111,8.999731845116017,0
112,8.662634320211936,0
113,8.399741590264101,0
114,8.578431878996112,0
115,8.528247617116651,0
116,8.768718907325754,0
117,8.940485674162657,0
118,9.444037711383682,0
119,9.47926156673014,0
120,9.696504211233986,0
121,10.21232951458341,0
122,10.531467172105712,0
123,10.971632067871276,0
124,11.100218192934484,0
125,11.159513951132856,0
126,11.371495433682936,0
127,10.931668834112001,0
128,10.886988776134839,0
129,10.640767540374387,0
130,10.455996199036584,0
131,9.998935247206516,0
132,9.969301477149427,0
133,9.509831506286284,0
134,9.015149933510147,0
135,8.82087099015301,0
136,8.820844552740077,0
137,8.777390508660378,0
138,8.915122086592799,0
139,9.105729638323465,0
140,8.869918228557852,0
141,8.87564078676139,0
142,8.98369754816391,0
143,9.667852848811627,0
144,9.853326242716237,0
145,10.26097248034814,0
146,10.55696473140909,0
147,10.90927747010544,0
148,11.309660964429547,0
149,11.31634589478134,0
150,11.326808853700705,0
151,11.164827437022517,0
152,10.953302559988671,0
153,10.939479798575379,0
154,10.749932617377251,0
155,10.724746794361035,0
156,10.157987682573916,0
157,9.96498935829229,0
158,9.444969250472573,0
159,9.088907994712867,0
160,8.931497390981011,0
161,8.85398489810284,0
162,9.254262086282747,0
163,8.872723781075386,0
164,9.268323449170206,0
165,9.230536317303105,0
166,9.791843914496571,0
167,10.040321408572076,0
168,10.312504315351285,0
169,10.68330685742349,0
170,10.921673883120162,0
171,11.372935436206143,0
172,11.461202409339121,0
173,11.492227352475865,0
174,11.545317737434585,0
175,11.735119379875115,0
176,11.8325987831457,0
177,11.42934918236059,0
178,11.134340660830079,0
179,10.897295489301555,0
180,10.729453756903045,0
181,10.245350067880532,0
182,9.852360915374943,0
183,9.825517321572608,0
184,9.531808464074926,0
185,9.582187898853013,0
186,9.348881086326779,0
187,9.195541035577389,0
188,9.317012190301746,0
189,9.989243086766795,0
190,10.28177060684943,0
191,10.321796048632509,0
192,10.639254494816813,0
